date,btc_price,total_balance,net_flow,inflow,outflow
2013-12-17,683.355368352006,649644.8081424,-2459.0444450900063,1000.5022096099901,3459.5466546999965
2013-12-18,524.030093479223,653226.6017870699,3581.793644669977,3729.649467769981,147.8558231000041
2013-12-19,691.315762590183,659912.2869862,6685.685199130028,6754.870718460028,69.18551933
2013-12-20,613.072203287628,661718.0738905601,1805.786904360019,2235.2269101900197,429.44000583000076
2013-12-21,600.44781963199,668494.73286053,6776.658969969969,6776.658969969969,0.0
2013-12-22,616.902663017269,671187.25963558,2692.5267750500025,12155.240322630008,9462.713547580006
2013-12-23,663.29210218928,673665.90855243,2478.6489168500025,2478.6489168500025,0.0
2013-12-24,654.595295578973,716428.0806276301,42762.17207520005,42776.91100384005,14.738928639999997
2013-12-25,682.240023186,719590.600966,3162.520338369966,3500.827888049996,338.3075496800302
2013-12-26,760.930399111866,723917.6568691,4327.055903100045,4327.119427650045,0.06352455
2013-12-27,733.753752060565,723394.07545463,-523.5814144700698,1198.48423661993,1722.0656510899998
2013-12-28,717.970629237388,724422.83806729,1028.762612660038,1035.17874873004,6.41613607000204
2013-12-29,732.496953117043,726280.32509555,1857.4870282600034,1867.6741546100034,10.187126350000007
2013-12-30,749.850057680959,728862.4028201101,2582.0777245599857,11084.666323729993,8502.588599170007
2013-12-31,732.869035338727,730112.39779065,1249.9949705399722,1510.9763191399934,260.9813486000211
2014-01-01,763.972075292099,730214.4555192901,102.05772864003842,435.50380595002383,333.4460773099854
2014-01-02,793.863845729971,731920.19588199,1705.7403626999876,1746.8219030199875,41.081540319999995
2014-01-03,818.183830171268,733450.9448198599,1530.748937869976,1533.527405409965,2.778467539988924
2014-01-04,838.614588954713,732930.9635350199,-519.9812848399681,572.0927003000459,1092.073985140014
2014-01-05,921.703283301004,726351.26036889,-6579.703166129981,2550.5225904800172,9130.225756609998
2014-01-06,925.586311344306,732564.0894824701,6212.829113579946,6809.6866926399625,596.8575790600166
2014-01-07,785.404143219838,733120.32768731,556.2382048400068,1876.5372917800123,1320.2990869400055
2014-01-08,825.907495386769,735143.9883593199,2023.6606720100133,2023.746551640015,0.08587963000172749
2014-01-09,829.947224892046,735475.9394129,331.951053579975,1046.2920870600065,714.3410334800315
2014-01-10,859.787362065792,734947.87521908,-528.0641938200112,26.781308830004782,554.845502650016
2014-01-11,905.2042591738,730550.10959995,-4397.765619129981,648.5974431700082,5046.363062299989
2014-01-12,843.280438209348,730640.5065283899,90.39692844001577,96.80107248001144,6.404144039995671
2014-01-13,825.10106398528,730054.6509706,-585.8555577900097,1456.4707564599867,2042.3263142499964
2014-01-14,816.598094048112,730209.33620861,154.68523801005745,1179.6016573000152,1024.9164192899577
2014-01-15,842.120927427504,733077.6999905399,2868.3637819299774,2888.9734788699775,20.609696940000003
2014-01-16,814.531686405685,734332.96238057,1255.2623900299982,1643.797917589985,388.5355275599868
2014-01-17,806.09738909532,737113.7840265,2780.821645929956,3177.82872651997,397.007080590014
2014-01-18,819.224524975201,738553.65882486,1439.8747983600229,1481.2986032100227,41.423804849999996
2014-01-19,851.87902489518,740773.14490288,2219.4860780200015,2222.2676588200015,2.781580799999999
2014-01-20,826.13031622138,742915.8140084399,2142.669105560022,3063.57500062004,920.9058950600181
2014-01-21,824.448428445203,742217.8388335799,-697.9751748600443,4049.572031909948,4747.547206769992
2014-01-22,818.234075631805,741683.41047368,-534.42835989996,13.463348510005744,547.8917084099658
2014-01-23,811.091014376946,742006.8710610202,323.4605873400237,342.90496347002164,19.44437612999795
2014-01-24,784.03204617452,744232.9788746199,2226.1078135999646,2231.099859779971,4.992046180006582
2014-01-25,806.713889397137,744658.20598246,425.2271078399829,479.1202841299819,53.893176289998976
2014-01-26,814.970291202947,745885.35321924,1227.147236780052,1770.3572249899948,543.2099882099428
2014-01-27,752.917458079482,752457.46680624,6572.11358699996,8282.007112919957,1709.8935259199973
2014-01-28,785.126344824364,752678.1097322899,220.64292605000105,1152.759494790001,932.11656874
2014-01-29,791.774993847537,753380.85410225,702.7443699600108,5246.899258460017,4544.154888500007
2014-01-30,801.53269213135,756229.4013584299,2848.547256179967,2848.547256179967,0.0
2014-01-31,802.846968542313,756388.4213527801,159.01999435003324,728.1355810900054,569.1155867399722
2014-02-01,812.173934836593,757704.72362079,1316.3022680099766,1360.9420694999776,44.63980149000108
2014-02-02,814.149937175916,759872.2085310501,2167.48491026002,3093.6943985299804,926.2094882699603
2014-02-03,806.098409526924,758956.75300952,-915.455521530017,494.8778466099793,1410.3333681399963
2014-02-04,800.508285971734,760144.4135087101,1187.660499189994,1460.8861434800056,273.22564429001153
2014-02-05,780.242539989937,762701.3856644001,2556.972155690016,2567.8533545200453,10.881198830029462
2014-02-06,768.754354952973,762833.04668297,131.66101856997068,693.2477324499595,561.5867138799888
2014-02-07,704.268288629305,771478.4736297199,8645.426946750016,8645.524946750016,0.098
2014-02-08,678.567652552782,774585.1193858101,3106.645756090037,4920.429954390048,1813.7841983000108
2014-02-09,687.021382953354,774912.6587678,327.5393819899564,870.8907211499977,543.3513391600413
2014-02-10,686.003602686904,731344.1724374898,-43568.48633031,3869.9273134000077,47438.41364371001
2014-02-11,674.491497605424,733230.6635407099,1886.4911032200284,3939.0033078000415,2052.512204580013
2014-02-12,652.134541592095,735034.037421,1803.3738802900048,1922.8896328599926,119.51575256998774
2014-02-13,605.845714822975,735989.79919815,955.761777149992,2720.2468060100036,1764.4850288600117
2014-02-14,668.150493493343,736131.8620307399,142.0628325899727,1052.4726026199771,910.4097700300044
2014-02-15,651.988842420917,737695.9159399301,1564.0539091900196,3120.044041250009,1555.9901320599893
2014-02-16,621.002586550428,750343.6252068299,12647.709266899978,12657.003261589978,9.293994690000005
2014-02-17,629.948976888316,756157.3573003002,5813.732093470024,9960.710959340036,4146.978865870013
2014-02-18,628.121113954429,757011.1150960302,853.757795730019,1502.073238150016,648.3154424199971
2014-02-19,623.766157798437,761957.50391439,4946.388818359978,5664.524530020007,718.1357116600283
2014-02-20,561.375041051019,764336.72649914,2379.2225847500094,6923.324558800007,4544.101974049998
2014-02-21,579.637092081415,763489.7338697899,-846.9926293500321,1864.5911519999772,2711.5837813500093
2014-02-22,608.758139704921,769963.82031614,6474.086446350028,6795.11785628002,321.03140992999096
2014-02-23,606.514088508994,770892.6819896802,928.8616735399748,1019.5523791899749,90.69070564999998
2014-02-24,533.461874401025,780006.1481570099,9113.466167329992,9139.793066449993,26.326899120000004
2014-02-25,534.619194590031,749105.97681387,-30900.171343139984,12622.647625350013,43522.81896849
2014-02-26,585.189534470641,746764.82615042,-2341.1506634499956,3185.5111075200048,5526.66177097
2014-02-27,582.770748190016,747612.4514447199,847.625294300012,1363.6654460500047,516.0401517499927
2014-02-28,553.401327219205,749117.73814054,1505.28669581997,1556.073486179986,50.786790360016155
2014-03-01,568.747683899014,749204.1187873199,86.38064678001902,150.15039300000592,63.7697462199869
2014-03-02,566.785235831795,748806.20257124,-397.91621608001435,121.12713245998563,519.04334854
2014-03-03,680.659703859355,751650.3229101698,2844.120338930004,2846.389688890004,2.2693499599999996
2014-03-04,671.987059748148,763230.49901354,11580.176103370044,14040.858931050056,2460.6828276800115
2014-03-05,669.64791046341,769006.0437907601,5775.544777220011,5806.876166010012,31.331388790000016
2014-03-06,667.97917100735,768692.96475088,-313.0790398800512,506.2943745699478,819.373414449999
2014-03-07,631.022786784201,565907.33332042,-202785.63143045997,865.0601986099937,203650.69162906997
2014-03-08,617.367098776055,569873.7010085899,3966.3676881699816,4965.513421229993,999.1457330600109
2014-03-09,639.897883681823,569784.23779611,-89.46321247995184,879.6017740600493,969.0649865400011
2014-03-10,626.980431485296,570290.2799419601,506.0421458499929,777.8879414699973,271.84579562000437
2014-03-11,634.040371056704,570954.83060244,664.5506604799717,1303.708091719969,639.1574312399972
2014-03-12,636.289701330536,567426.29551087,-3528.5350915699883,4126.705221840008,7655.240313409996
2014-03-13,644.210887849228,570714.21650544,3287.920994569995,3294.489205099995,6.568210529999988
2014-03-14,627.953762619516,570930.5038331199,216.28732768000873,1312.3577283900083,1096.0704007099996
2014-03-15,635.534112241032,569374.3057483601,-1556.198084759984,447.6348215900129,2003.832906349997
2014-03-16,632.003703646914,569340.3726907,-33.93305765999355,900.8114279400104,934.7444856000039
2014-03-17,623.735263903274,570364.7872318199,1024.4145411199936,1025.6987581000058,1.2842169800121392
2014-03-18,615.854523428001,567994.3378699999,-2370.4493618200113,2651.366757539995,5021.816119360006
2014-03-19,609.213279869461,580430.6844323998,12436.346562399996,13021.856452729993,585.5098903299968
2014-03-20,586.537166008565,584935.3482713199,4504.66383891999,4700.552919520009,195.8890806000192
2014-03-21,570.825111000306,588226.5651951999,3291.2169238800234,3444.897026150022,153.68010226999897
2014-03-22,563.022271896756,591885.13943769,3658.574242489999,3675.965450869999,17.39120837999998
2014-03-23,557.6447871815,591755.24847983,-129.89095786002054,1263.822655049973,1393.7136129099936
2014-03-24,585.610809414432,592537.16757023,781.9190904000071,782.0383904000071,0.1193
2014-03-25,583.974447598317,591818.25573312,-718.911837110019,1689.0798210099751,2407.991658119994
2014-03-26,576.782527983007,593796.35410607,1978.0983729499965,3549.1944420299887,1571.0960690799923
2014-03-27,474.496112535878,606793.5336166099,12997.179510540005,12997.179510540005,0.0
2014-03-28,502.927662207108,624782.76421697,17989.23060036002,18119.52891145002,130.29831109
2014-03-29,492.433627619984,621268.59700408,-3514.1672128899763,3135.6308492400276,6649.798062130004
2014-03-30,460.995724361968,621896.0023546901,627.405350609989,4929.223238369986,4301.817887759997
2014-03-31,456.647066940835,610331.6125184898,-11564.389836200036,5331.312769299965,16895.702605500002
2014-04-01,479.873361199372,615504.4972386899,5172.884720200014,5201.542616290014,28.65789609000001
2014-04-02,437.214942793284,621387.85818244,5883.360943750015,7402.979641340019,1519.6186975900036
2014-04-03,447.992549465074,623215.5411941399,1827.6830116999668,1850.6518525799668,22.968840880000002
2014-04-04,446.994766212599,621370.8873661801,-1844.6538279599508,675.1064233100407,2519.7602512699914
2014-04-05,463.667150070418,535825.6158024801,-85545.2715637,1506.6019854499996,87051.87354915
2014-04-06,458.185659954543,539423.5254602701,3597.9096577899727,4159.526512119975,561.6168543300028
2014-04-07,446.281160469535,539430.3273601101,6.801899840023907,1573.0292439900236,1566.2273441499997
2014-04-08,451.667797651288,540215.2682311201,784.940871010011,802.0224240100091,17.081552999998053
2014-04-09,440.906037806598,539113.3598348802,-1101.908396240004,0.46922003999989215,1102.377616280004
2014-04-10,364.124870355731,522195.7988133,-16917.56102158003,3014.0533730499787,19931.614394630007
2014-04-11,422.37832094113,516324.46381244,-5871.335000859994,0.34036563000000003,5871.675366489993
2014-04-12,422.890062244945,517450.54496305005,1126.0811506099974,1134.1026758099974,8.021525200000003
2014-04-13,417.301905137545,517630.92539934994,180.38043630000652,623.3675462999977,442.98710999999116
2014-04-14,459.848064154935,519058.51180636993,1427.586407019976,2093.0011432199735,665.4147361999976
2014-04-15,518.925193708951,515249.13741868996,-3809.374387680012,255.78602643998593,4065.160414119998
2014-04-16,530.937602631916,514101.04496762995,-1148.0924510599698,37.054279700034016,1185.1467307600037
2014-04-17,497.597748720723,518004.17266184004,3903.12769421001,3978.8901860900096,75.76249187999994
2014-04-18,479.402213346884,522450.5723232201,4446.399661379996,4491.125768689996,44.72610730999998
2014-04-19,503.487238678145,522269.53786977,-181.03445345000276,148.87142414000627,329.905877590009
2014-04-20,498.953650399417,522037.09236017,-232.44550959998293,29.037562320017283,261.4830719200002
2014-04-21,493.957318438276,521979.0529179099,-58.03944226000374,334.10100581000006,392.1404480700038
2014-04-22,487.244646932982,521912.81636778,-66.23655013002144,1015.3854838099753,1081.6220339399968
2014-04-23,489.552965607197,517442.22846183,-4470.587905950028,2555.2897263799705,7025.877632329998
2014-04-24,501.321738736763,516904.914865,-537.313596829947,278.39141596005516,815.7050127900021
2014-04-25,464.48617213457,523723.70587835,6818.791013349971,6950.85506896997,132.0640556199987
2014-04-26,459.61133846647,527479.5367289999,3755.830850650002,3755.9273103199944,0.09645966999232769
2014-04-27,429.123236370122,527915.78791135,436.2511823499859,1235.5865266899864,799.3353443400005
2014-04-28,439.863274195974,533940.63519135,6024.847279999992,6180.862976489995,156.01569649000328
2014-04-29,445.903356590708,526243.16354739,-7697.471643959949,4035.9010799900457,11733.372723949995
2014-04-30,449.029769048968,526838.96894609,595.8053986999575,768.0194235499588,172.21402485000118
2014-05-01,458.805840165877,530737.2860878201,3898.3171417300346,3901.8665008000344,3.5493590700000084
2014-05-02,450.812353697179,586265.78697865,55528.500890829964,55544.3468832,15.845992370035717
2014-05-03,438.721813554547,582778.77937467,-3487.007603979988,1976.0606115700145,5463.068215550003
2014-05-04,435.169167225455,582843.40733095,64.62795628003278,2067.4113523800293,2002.7833960999965
2014-05-05,431.849778453077,584727.93685863,1884.5295276799782,1884.5295276799782,0.0
2014-05-06,429.238071184612,586908.31350205,2180.3766434199792,2219.6241621399877,39.24751872000863
2014-05-07,440.114326814283,582903.2079356001,-4005.1055664499627,598.6225896300385,4603.728156080001
2014-05-08,439.679324524169,588104.47522835,5201.267292749957,5201.427668989998,0.16037624004050377
2014-05-09,454.355384932296,589735.9989659302,1631.5237375799948,1649.931852380006,18.40811480001119
2014-05-10,457.193549962871,588976.5073971901,-759.491568739967,207.0934716399992,966.5850403799661
2014-05-11,437.567614875049,588022.0590642401,-954.4483329500049,488.4390467299909,1442.8873796799958
2014-05-12,441.1546747449,589949.6352676902,1927.5762034500174,2148.602455429994,221.02625197997648
2014-05-13,440.131132926695,587302.4427550399,-2647.192512650008,241.1428770299819,2888.33538967999
2014-05-14,445.529408146216,591948.78693161,4646.344176569984,4646.511081599983,0.16690503000000012
2014-05-15,448.611682390486,596423.4179597,4474.631028090036,5235.713673240041,761.0826451500052
