date,basis_binance,basis_deribit,basis_3m
2021-02-05,26.526,23.2283,24.8772
2021-02-06,30.2632,26.5498,28.4065
2021-02-07,22.9034,20.3883,21.6459
2021-02-08,32.8117,27.6803,30.246
2021-02-09,32.0396,28.2063,30.123
2021-02-10,30.1902,25.1467,27.6684
2021-02-11,34.4399,28.2392,31.3395
2021-02-12,35.5038,28.9662,32.235
2021-02-13,34.468,29.5692,32.0186
2021-02-14,35.2873,31.3989,33.3431
2021-02-15,35.2622,29.6218,32.442
2021-02-16,34.4189,29.1355,31.7772
2021-02-17,38.1843,34.3273,36.2558
2021-02-18,35.7433,33.4325,34.5879
2021-02-19,35.1672,29.3969,32.2821
2021-02-20,31.9137,28.3769,30.1453
2021-02-21,34.93,30.0378,32.4839
2021-02-22,28.6683,24.6841,26.6762
2021-02-23,30.2366,25.5445,27.8905
2021-02-24,26.5702,22.3395,24.4549
2021-02-25,23.4366,21.1897,22.3132
2021-02-26,22.9025,20.7868,21.8447
2021-02-27,22.1758,20.3425,21.2591
2021-02-28,19.1185,18.5174,18.818
2021-03-01,21.3806,20.9525,21.1665
2021-03-02,20.1922,18.5802,19.3862
2021-03-03,22.4225,21.9589,22.1907
2021-03-04,19.0449,18.1283,18.5866
2021-03-05,20.147,17.2253,18.6862
2021-03-06,19.999,18.1294,19.0642
2021-03-07,24.1308,21.4379,22.7843
2021-03-08,24.5621,21.5164,23.0392
2021-03-09,24.7934,22.8962,23.8448
2021-03-10,27.8063,25.228,26.5171
2021-03-11,31.5889,28.7225,30.1557
2021-03-12,27.4795,25.4523,26.4659
2021-03-13,38.3696,36.0574,37.2135
2021-03-14,34.2008,32.6123,33.4065
2021-03-15,23.8217,22.1689,22.9953
2021-03-16,25.3781,23.4447,24.4114
2021-03-17,27.3138,24.1578,25.7358
2021-03-18,25.6465,23.3221,24.4843
2021-03-19,27.0769,25.4748,26.2759
2021-03-20,29.366,26.1766,27.7713
2021-03-21,26.2828,24.9724,25.6276
2021-03-22,24.1911,22.7456,23.4683
2021-03-23,24.945,22.1279,23.5365
2021-03-24,22.2973,18.1936,20.2454
2021-03-25,21.9547,17.7088,19.8317
2021-03-26,21.9464,17.933,19.9397
2021-03-27,24.7187,20.8168,22.7677
2021-03-28,24.2205,21.0203,22.6204
2021-03-29,29.6308,24.686,27.1584
2021-03-30,32.0252,27.3495,29.6873
2021-03-31,34.1347,29.0855,31.6101
2021-04-01,34.6344,29.0423,31.8383
2021-04-02,34.9912,30.1401,32.5656
2021-04-03,33.256,29.1032,31.1796
2021-04-04,34.3915,29.4238,31.9077
2021-04-05,40.9673,35.199,38.0831
2021-04-06,36.0467,31.85,33.9483
2021-04-07,31.4308,26.9371,29.1839
2021-04-08,35.0912,29.9293,32.5102
2021-04-09,35.9139,31.6217,33.7678
2021-04-10,45.0104,41.2202,43.1153
2021-04-11,44.9582,42.5402,43.7492
2021-04-12,43.4393,42.1295,42.7844
2021-04-13,49.7108,49.0133,49.3621
2021-04-14,40.4023,36.5863,38.4943
2021-04-15,41.3753,38.5097,39.9425
2021-04-16,35.0979,32.4198,33.7589
2021-04-17,31.8538,29.7512,30.8025
2021-04-18,21.7356,22.1649,21.9503
2021-04-19,25.4589,24.6239,25.0414
2021-04-20,24.5123,23.2851,23.8987
2021-04-21,25.7951,24.9957,25.3954
2021-04-22,22.6654,21.946,22.3057
2021-04-23,20.3213,19.3106,19.816
2021-04-24,20.2329,16.5908,18.4118
2021-04-25,21.9747,19.0187,20.4967
2021-04-26,24.2681,21.8459,23.057
2021-04-27,23.5161,21.8652,22.6907
2021-04-28,24.2554,23.2065,23.7309
2021-04-29,23.2947,22.3893,22.842
2021-04-30,25.7199,23.4207,24.5703
2021-05-01,27.3167,24.0529,25.6848
2021-05-02,24.9119,22.0912,23.5016
2021-05-03,23.3794,22.4984,22.9389
2021-05-04,19.5796,18.2152,18.8974
2021-05-05,27.806,24.9755,26.3908
2021-05-06,24.4356,21.172,22.8038
2021-05-07,23.2999,21.8145,22.5572
2021-05-08,28.6206,25.4168,27.0187
2021-05-09,27.394,23.8869,25.6404
2021-05-10,23.5619,21.6108,22.5863
2021-05-11,25.7456,23.0292,24.3874
2021-05-12,22.5753,17.7721,20.1737
2021-05-13,22.4059,16.9727,19.6893
2021-05-14,20.1924,15.0467,17.6196
2021-05-15,17.5909,12.413,15.0019
2021-05-16,16.517,11.0576,13.7873
2021-05-17,15.2412,6.5889,10.9151
2021-05-18,13.6059,9.6972,11.6515
2021-05-19,9.3327,4.3992,6.866
2021-05-20,7.9659,3.3023,5.6341
2021-05-21,5.5625,2.6666,4.1146
2021-05-22,5.8846,3.7919,4.8382
2021-05-23,4.6027,4.0843,4.3435
2021-05-24,6.5915,3.6333,5.1124
2021-05-25,7.212,4.4503,5.8311
2021-05-26,7.7637,4.8409,6.3023
2021-05-27,8.3884,5.4224,6.9054
2021-05-28,6.7223,4.3845,5.5534
2021-05-29,5.4503,3.5904,4.5203
2021-05-30,5.5914,3.8738,4.7326
2021-05-31,7.0164,6.2855,6.6509
2021-06-01,7.0277,4.5903,5.809
2021-06-02,7.7797,6.801,7.2903
2021-06-03,9.3164,7.1662,8.2413
2021-06-04,7.5443,6.3801,6.9622
2021-06-05,6.7388,6.486,6.6124
2021-06-06,6.9724,6.518,6.7452
2021-06-07,5.9572,4.7062,5.3317
2021-06-08,4.331,3.7522,4.0416
2021-06-09,7.9072,6.5337,7.2205
2021-06-10,7.3082,4.7352,6.0217
2021-06-11,7.7028,5.7905,6.7467
2021-06-12,6.4355,5.176,5.8058
2021-06-13,9.7017,9.0088,9.3553
2021-06-14,8.6305,6.9099,7.7702
2021-06-15,8.1315,6.9296,7.5306
2021-06-16,6.3631,3.9049,5.134
2021-06-17,5.0636,-0.0561,2.5037
2021-06-18,4.6352,1.2294,2.9323
2021-06-19,4.6412,2.2509,3.4461
2021-06-20,5.9193,2.8372,4.3782
2021-06-21,2.8797,0.7258,1.8028
2021-06-22,4.7998,4.0223,4.411
2021-06-23,4.5392,3.4385,3.9889
2021-06-24,4.6698,2.5568,3.6133
2021-06-25,4.1656,3.8587,4.0121
2021-06-26,2.7123,3.4588,3.0855
2021-06-27,3.4393,2.9295,3.1844
2021-06-28,3.6103,3.4982,3.5542
2021-06-29,4.2878,4.0049,4.1464
2021-06-30,5.1293,3.9995,4.5644
2021-07-01,2.5673,2.3895,2.4784
2021-07-02,3.6554,3.4758,3.5656
2021-07-03,4.1142,3.6,3.8571
2021-07-04,3.8784,3.5646,3.7215
2021-07-05,2.972,2.8528,2.9124
2021-07-06,4.454,3.3911,3.9226
2021-07-07,3.3834,2.7924,3.0879
2021-07-08,2.3431,2.3072,2.3251
2021-07-09,4.7937,4.0309,4.4123
2021-07-10,3.6822,3.5903,3.6363
2021-07-11,5.1159,4.4908,4.8033
2021-07-12,4.2565,3.6948,3.9756
2021-07-13,3.2333,3.0783,3.1558
2021-07-14,2.3592,2.3814,2.3703
2021-07-15,2.3973,2.4999,2.4486
2021-07-16,1.3708,1.8436,1.6072
2021-07-17,1.4294,1.5446,1.487
2021-07-18,2.2479,2.5877,2.4178
2021-07-19,0.5662,1.2486,0.9074
2021-07-20,1.0384,1.9113,1.4749
2021-07-21,2.7042,2.8842,2.7942
2021-07-22,2.5946,2.8729,2.7338
2021-07-23,2.8828,5.8043,4.3435
2021-07-24,3.9983,8.6611,6.3297
2021-07-25,4.5771,9.3353,6.9562
