date,btc_price,apparent_demand
2012-04-17,4.98499455758975,4944.46031455975
2012-04-18,5.12130812905535,5123.306080264971
2012-04-19,5.1447793823688,4012.385841106996
2012-04-20,5.35009038822879,4725.755721214227
2012-04-21,5.2601431950037,3977.358052039519
2012-04-22,5.20352603356409,3599.1747288051993
2012-04-23,4.96582514775877,-4016.3218364398926
2012-04-24,5.10394265270566,2280.0036157369614
2012-04-25,5.13453463910742,4038.8994182562456
2012-04-26,5.10005593085136,-811.0266545694321
2012-04-27,5.10961800193015,314.82388020772487
2012-04-28,4.97940595181476,3741.4837785493582
2012-04-29,4.90287453611801,3873.4758228873834
2012-04-30,4.94910305220169,4698.886495402083
2012-05-01,5.00841920249539,5140.056996402331
2012-05-02,5.0734289805164,2919.3589901095256
2012-05-03,5.1451001062097,-56586.58013475314
2012-05-04,5.07145293422337,4934.779096757993
2012-05-05,5.07885858359293,5295.884651524946
2012-05-06,5.05481047600564,4915.334164209664
2012-05-07,5.08406416346168,5039.606543960981
2012-05-08,5.05002150482217,119.54705074802041
2012-05-09,5.0480173252148,-484.85495883319527
2012-05-10,4.82616309704524,3832.9585296185687
2012-05-11,4.96370056697104,572.1950335036963
2012-05-12,4.94620910882999,25994.272384103388
2012-05-13,4.92997058917423,4592.476528061554
2012-05-14,5.00594371010695,11897.011636456475
2012-05-15,5.03540925022745,2705.472953208722
2012-05-16,5.08730610512377,-6591.205189548433
2012-05-17,5.09979899797384,2506.990309092216
2012-05-18,5.11956135801862,3758.1250613126904
2012-05-19,5.09950311954792,913.778148832731
2012-05-20,5.09001706038258,877.957922693342
2012-05-21,5.09989235369147,2349.0922926664352
2012-05-22,5.10405001277268,4971.330676889978
2012-05-23,5.13880926852253,-3397.0833530332893
2012-05-24,5.11902270702896,157.37896265555173
2012-05-25,5.14545828346713,-1487.4683179240674
2012-05-26,5.10307428718382,-404.21331811044365
2012-05-27,5.14075429024356,4906.667994862422
2012-05-28,5.13555290763641,-5364.277888068929
2012-05-29,5.15539522803204,-5908.29811329674
2012-05-30,5.14096170751355,-7965.142009298317
2012-05-31,5.17907120189264,-2448.908232713118
