date,btc_price,lth_supply_btc,sth_supply_btc,pct_lth_in_profit,pct_sth_in_profit,pct_lth_in_loss,pct_sth_in_loss,percent_btc_in_profit,percent_btc_in_loss
2024-01-07,44299.2939991951,16051003.831664616,3541342.2133028773,87.9662015430648,94.75255580694602,12.033798456936532,5.247444193055877,89.19238872527869,10.807100873907318
2024-01-08,47081.4977792422,16043927.654316954,3549187.140650011,89.72984596002227,100.0,10.270154039978685,0.0,91.58976155057123,8.409728068637408
2024-01-09,46157.104634299,16029095.275001824,3564969.5199648426,88.69434975349364,91.15594472695963,11.305650246506934,8.844055273044182,89.14176058764728,10.85772905630549
2024-01-10,46704.0212654584,16023694.49662118,3571201.5483460147,89.35523983638524,98.2441209975816,10.644760163615894,1.7558790024189939,90.97478855018386,9.0247011154216
2024-01-11,46422.514952638,16015867.474726593,3580109.8202402024,88.97283595655274,88.95116501697343,11.027164043448064,11.048834983031016,88.96842274536063,11.031066948402607
2024-01-12,42802.9958672967,16008978.972965442,3588048.3220019974,87.32900843751406,58.74463986132687,12.670991562487535,41.255360138677155,82.09503577087585,17.904453950232536
2024-01-13,42850.6353160156,16009080.330222284,3588940.714744324,87.35378731634893,63.56177485838219,12.646212683653582,36.43822514162187,82.99638706459227,17.003102682386015
2024-01-14,41802.6523443133,16008964.871021805,3589856.1739437524,86.87081123977963,49.492313456699364,13.129188760222684,50.50768654331465,80.02389768708599,19.975592080718574
2024-01-15,42525.0130290145,16003755.17535529,3595778.3696105042,87.23808479716621,59.39604777286952,12.761915202834956,40.60395222714309,82.1296975369064,17.869792249444448
2024-01-16,43151.682390494,15947592.217362287,3652722.5776050845,87.46966933057205,66.07964611189404,12.530330669428647,33.920353888108764,83.48299004183816,16.516499764855308
2024-01-17,42768.6164119022,15929005.34911911,3672065.695848197,87.26681837339753,57.571989546486755,12.733181626603754,42.42801045351916,81.7033707247128,18.296119101666797
2024-01-18,41319.8844291479,15917852.188073082,3684106.3568937937,86.6240204516426,47.88799756694154,13.37597954835697,52.112002433065726,79.34334172979469,20.65614811967983
2024-01-19,41665.2040829469,15907554.041883543,3695229.5030817008,86.77642605440688,51.42015597560271,13.223573945594744,48.57984402440925,80.11117144237026,19.8883184285668
2024-01-20,41687.2539317214,15927805.206752049,3675872.088215204,86.79559731472537,51.911716223207804,13.204402685276676,48.088283776800864,80.25413530648568,19.74535458772088
2024-01-21,41613.2952610405,15929352.035182398,3675200.2597842836,86.79865387459765,45.78387007137167,13.201346125403957,54.2161299286356,79.10934514897833,20.89014476799094
2024-01-22,39563.6764739163,15908975.185681561,3696577.1092852126,84.85897910759492,42.71788536207701,15.141020892406534,57.282114637936274,76.91299057049116,23.086499372496366
2024-01-23,39906.2715497597,15890015.976569006,3716498.81839808,85.01916346367562,39.38892141489843,14.980836536324963,60.611078585112224,76.36936622189327,23.630123746135457
2024-01-24,40117.6810517906,15848921.376639565,3758530.9183273325,85.5964521335099,47.61263108154288,14.403547866492044,52.387368918467956,78.31497592894074,21.684514063472832
2024-01-25,39964.0969895517,15840556.804090625,3768026.7408760064,85.13256405591024,39.60209832374332,14.867435944091852,60.39790167626068,76.38294426288721,23.616545758946838
