date,btc_price,daily_realized_profit_btc,daily_realized_loss_btc,rpl_ratio,sth_pl_ratio,lth_pl_ratio,rrp,rrl,relative_realized_pl
2012-11-19,11.7601829601469,10277.504284039662,362.2857779881666,28.36850052771146,100.71557301714141,11.805130201125689,0.001662393572204245,5.8599980304928486e-05,0.0016037935918993165
2012-11-20,11.705590839703,4436.430536838892,1293.7610783074533,3.4290956894783053,4.513923208862865,2.241695541211592,0.0007130478842063071,0.00020794050349606563,0.0005051073807102414
2012-11-21,11.7481456690149,6437.061136673934,405.771756607758,15.863748602139312,52.90965955093904,9.232524567559517,0.001036083840718821,6.53114132544372e-05,0.0009707724274643839
2012-11-22,12.3030228436012,14241.267858177393,50.50806105941606,281.96029622725814,52.90965955093904,46.46017211835403,0.0023918574866904235,8.482958482787953e-06,0.0023833745282076354
2012-11-23,12.3450058705694,10321.351874992914,39.03582696131784,264.4071530807008,646770.405503841,115.926789471067,0.0017340262181551032,6.558166819434926e-06,0.0017274680513356684
2012-11-24,12.4115736085033,9728.12257248983,166.72306576680202,58.34899045160732,646770.405503841,6.111641281484112,0.0016384384384083913,2.8079979203192157e-05,0.0016103584592051991
2012-11-25,12.545105850885,11794.49824415486,89.04608620111357,132.4538645922808,1012506.6755957395,84.03833404203574,0.0020013599816016718,1.5109864765080684e-05,0.001986250116836591
2012-11-26,12.1299860876359,10141.767423904454,3473.293150100489,2.919928432649295,0.8144673740042278,151.92881562645312,0.0016600157224074656,0.0005685124689516134,0.0010915032534558522
2012-11-27,12.1893480599252,6882.220300838205,1924.089647099955,3.576870917221186,2.5747150104461514,5.751113161212051,0.0011297061223628935,0.00031583642477110805,0.0008138696975917855
2012-11-28,12.3458950191662,8837.136832657792,271.4925718869729,32.55019749246343,20.078718998541106,132.1465517665472,0.0014654090328327818,4.501997363217468e-05,0.001420389059200607
2012-11-29,12.4551525819641,7068.019159434312,130.8304514357893,54.02426638345162,72.48660095130549,39.256527744631505,0.0011802307966397151,2.1846308624770814e-05,0.0011583844880149444
2012-11-30,12.57068531433,12007.18577283428,129.28890345757762,92.87096921487998,1635696.2778731112,50.644595171556865,0.002018477793619942,2.1734216953736042e-05,0.001996743576666206
2012-12-01,12.6669700639288,6879.735166830488,781.6592725829036,8.801450207450609,877547.9681995325,1.410165151319491,0.0011633561073600743,0.00013217777524609175,0.0010311783321139826
2012-12-02,12.5000271920804,2935.071180104679,1065.9577913912026,2.753459099233244,1.6081474670791494,8.327154116678546,0.0004893317172638839,0.00017771526637172424,0.0003116164508921597
2012-12-03,12.6774422005852,9775.260698824524,50.12259318134918,195.02703428484898,146438.01567463708,75.02793773618916,0.001649116422730635,8.455835001428565e-06,0.0016406605877292064
2012-12-04,13.3772556953385,46721.23441662187,99.32730518584721,470.37654277646715,146438.01567463708,317.0853635649555,0.008244575582061741,1.752760784667729e-05,0.008227047974215064
2012-12-05,13.3650391946128,21061.49441734989,128.29832401024075,164.16032383765798,158.57798592686615,176.39556084484596,0.0036975512430821064,2.2524025030181483e-05,0.003675027218051925
