date,btc_price,realized_cap_usd,lth_realized_cap_usd,sth_realized_cap_usd
2014-10-04,328.335546481091,4670688976.0123,2771486127.64843,1899202864.535845
2014-10-05,319.678225627371,4668077971.52581,2762025813.83014,1906052177.374231
2014-10-06,327.188790776704,4633185535.2172,2754690133.41275,1878495443.3007917
2014-10-07,335.626958905614,4629504269.85228,2749366210.71185,1880138083.677599
2014-10-08,353.177168921924,4631284385.4664,2743765463.55322,1887518883.302631
2014-10-09,363.679788520861,4627021163.79823,2745378961.75252,1881642168.541558
2014-10-10,359.185342823022,4623382371.65632,2740269660.80374,1883112753.557333
2014-10-11,360.922684734429,4623660480.05412,2740215663.74548,1883444845.283558
2014-10-12,378.224559260695,4620187884.63674,2727810608.2245,1892377206.1856039
2014-10-13,391.00521776464,4629513983.46078,2727102093.62449,1902411854.5609672
2014-10-14,399.092928913598,4632097984.99188,2723708301.82033,1908389682.5325198
2014-10-15,394.242616173952,4623441160.39255,2723200652.63777,1900240569.0172489
2014-10-16,381.771232207782,4623988087.78064,2724944122.65671,1899043976.872383
2014-10-17,382.518126893721,4620363681.55622,2722418317.54161,1897945371.9430408
2014-10-18,390.69972030731,4622686238.38267,2726349000.67903,1896337264.2201478
2014-10-19,387.918443101786,4623717458.48088,2727205910.54283,1896511526.386926
2014-10-20,380.724498350147,4623053400.01015,2727429194.69996,1895624190.318475
2014-10-21,383.99956710736,4623390120.55848,2732262781.7925,1891127243.435669
2014-10-22,379.425962308557,4622172139.77118,2734944424.21973,1887227690.594871
2014-10-23,358.063095977608,4618283771.13199,2736557306.67635,1881726502.8502212
2014-10-24,357.108255768815,4612926542.17915,2733285535.32757,1879640995.0009801
2014-10-25,345.563899466812,4610150761.35684,2737128710.05019,1873022090.9933548
2014-10-26,353.174317179687,4609729205.05445,2739144421.37002,1870584794.593399
2014-10-27,349.65252007376,4606405443.71535,2741281650.74303,1865123776.769108
2014-10-28,353.459514003916,4605877034.47293,2746207526.91904,1859669522.063046
2014-10-29,333.407201030262,4599780829.94664,2783472479.05097,1816308374.548408
2014-10-30,344.874983953776,4597910281.01944,2782340205.27327,1815570026.804605
2014-10-31,336.795815628418,4590507338.45389,2785421907.76611,1805085490.7981548
2014-11-01,325.76687088625,4588556919.77449,2796874704.07054,1791682242.59717
2014-11-02,323.971035419758,4587287543.12841,2800150710.98443,1787136767.43998
2014-11-03,325.033517098761,4584136913.49378,2802247812.15468,1781889048.1982741
2014-11-04,329.684117461856,4579731986.22361,2807562926.46242,1772169092.219853
2014-11-05,338.871369253032,4579173875.81373,2818944397.23341,1760229512.160161
2014-11-06,349.721545517333,4581406104.18145,2835192740.17099,1746213350.062734
2014-11-07,342.081335394015,4584550453.87896,2838054006.53073,1746496434.62671
2014-11-08,344.781789353695,4585834244.47347,2841949132.05181,1743885158.392456
2014-11-09,362.596847999539,4584344920.22731,2836256709.66992,1748088170.3079019
2014-11-10,366.104286608767,4585547509.60855,2837099248.29247,1748448303.6704059
2014-11-11,368.054641890641,4585339669.39756,2852883127.1471,1732456610.074563
2014-11-12,431.735207360928,4596326410.9915,2895448784.10281,1700877731.3357
2014-11-13,419.011925020404,4611585976.77629,2943997998.57611,1667587985.0321891
2014-11-14,399.924890033398,4610453093.19304,3070213254.98768,1540239777.209755
2014-11-15,375.73383703901,4609237980.14912,3074397075.68755,1534840957.867759
2014-11-16,391.629683724836,4611531147.96844,3075670201.03934,1535860927.354374
2014-11-17,387.472106715449,4608764350.5471,3077708634.34145,1531055737.786307
2014-11-18,373.191911287858,4606683294.0208,3079072162.19447,1527611073.097594
2014-11-19,376.30648286953,4603821756.09501,3073481360.9508,1530340487.647989
2014-11-20,356.92877164698,4597945386.55539,3069985991.54065,1527959320.925711
2014-11-21,350.585147053136,4594796696.55569,3072609098.03664,1522187642.485822
2014-11-22,352.634566580835,4594933128.5561,3074002498.91555,1520930546.90256
2014-11-23,367.85796571858,4596238905.95164,3076060041.33944,1520178841.91279
2014-11-24,376.02181221686,4598108502.83046,3077281091.59471,1520827404.3422081
2014-11-25,377.05923214442,4598032164.08314,3082099188.65887,1515933029.961418
2014-11-26,369.119330053315,4596785371.22462,3103415918.92363,1493369458.377333
2014-11-27,370.153762940792,4597162552.39377,3107337880.44731,1489824658.470844
