date,btc_price,trend_bitcoin,trend_crypto,trend_ethereum,trend_nft,wiki_bitcoin,wiki_cryptocurrency,wiki_ethereum,wiki_blockchain
2012-04-07,4.69,0.0,0.0,0.0,0.0,,,,
2012-04-08,4.79,0.0,0.0,0.0,0.0,,,,
2012-04-09,4.87,0.0,0.0,0.0,0.0,,,,
2012-04-10,4.83,0.0,0.0,0.0,0.0,,,,
2012-04-11,4.93,0.0,0.0,0.0,0.0,,,,
2012-04-12,4.92,0.0,0.0,0.0,0.0,,,,
2012-04-13,4.94,0.0,0.0,0.0,0.0,,,,
2012-04-14,4.96,0.0,0.0,0.0,0.0,,,,
2012-04-15,4.97,0.0,0.0,0.0,0.0,,,,
2012-04-16,4.93,0.0,0.0,0.0,0.0,,,,
2012-04-17,4.98,0.0,0.0,0.0,0.0,,,,
2012-04-18,5.12,0.0,0.0,0.0,0.0,,,,
2012-04-19,5.14,0.0,0.0,0.0,0.0,,,,
2012-04-20,5.35,0.0,0.0,0.0,0.0,,,,
2012-04-21,5.26,0.0,0.0,0.0,0.0,,,,
2012-04-22,5.2,0.0,0.0,0.0,0.0,,,,
2012-04-23,4.97,0.0,0.0,0.0,0.0,,,,
2012-04-24,5.1,0.0,0.0,0.0,0.0,,,,
2012-04-25,5.13,0.0,0.0,0.0,0.0,,,,
2012-04-26,5.1,0.0,0.0,0.0,0.0,,,,
2012-04-27,5.11,0.0,0.0,0.0,0.0,,,,
2012-04-28,4.98,0.0,0.0,0.0,0.0,,,,
2012-04-29,4.9,0.0,0.0,0.0,0.0,,,,
2012-04-30,4.95,0.0,0.0,0.0,0.0,,,,
2012-05-01,5.01,0.0,0.0,0.0,0.0,,,,
2012-05-02,5.07,0.0,0.0,0.0,0.0,,,,
2012-05-03,5.15,0.0,0.0,0.0,0.0,,,,
2012-05-04,5.07,0.0,0.0,0.0,0.0,,,,
2012-05-05,5.08,0.0,0.0,0.0,0.0,,,,
2012-05-06,5.05,0.0,0.0,0.0,0.0,,,,
2012-05-07,5.08,0.0,0.0,0.0,0.0,,,,
2012-05-08,5.05,0.0,0.0,0.0,0.0,,,,
2012-05-09,5.05,0.0,0.0,0.0,0.0,,,,
2012-05-10,4.83,0.0,0.0,0.0,0.0,,,,
2012-05-11,4.96,0.0,0.0,0.0,0.0,,,,
2012-05-12,4.95,0.0,0.0,0.0,0.0,,,,
2012-05-13,4.93,0.0,0.0,0.0,0.0,,,,
2012-05-14,5.01,0.0,0.0,0.0,0.0,,,,
2012-05-15,5.04,0.0,0.0,0.0,0.0,,,,
2012-05-16,5.09,0.0,0.0,0.0,0.0,,,,
2012-05-17,5.1,0.0,0.0,0.0,0.0,,,,
2012-05-18,5.12,0.0,0.0,0.0,0.0,,,,
2012-05-19,5.1,0.0,0.0,0.0,0.0,,,,
2012-05-20,5.09,0.0,0.0,0.0,0.0,,,,
2012-05-21,5.1,0.0,0.0,0.0,0.0,,,,
2012-05-22,5.1,0.0,0.0,0.0,0.0,,,,
2012-05-23,5.14,0.0,0.0,0.0,0.0,,,,
2012-05-24,5.12,0.0,0.0,0.0,0.0,,,,
2012-05-25,5.15,0.0,0.0,0.0,0.0,,,,
2012-05-26,5.1,0.0,0.0,0.0,0.0,,,,
2012-05-27,5.14,0.0,0.0,0.0,0.0,,,,
2012-05-28,5.14,0.0,0.0,0.0,0.0,,,,
2012-05-29,5.16,0.0,0.0,0.0,0.0,,,,
2012-05-30,5.14,0.0,0.0,0.0,0.0,,,,
2012-05-31,5.18,0.0,0.0,0.0,0.0,,,,
2012-06-01,5.27,0.0,0.0,0.0,0.0,,,,
2012-06-02,5.25,0.0,0.0,0.0,0.0,,,,
2012-06-03,5.21,0.0,0.0,0.0,0.0,,,,
2012-06-04,5.26,0.0,0.0,0.0,0.0,,,,
2012-06-05,5.44,0.0,0.0,0.0,0.0,,,,
2012-06-06,5.46,0.0,0.0,0.0,0.0,,,,
2012-06-07,5.59,0.0,0.0,0.0,0.0,,,,
2012-06-08,5.63,0.0,0.0,0.0,0.0,,,,
2012-06-09,5.56,0.0,0.0,0.0,0.0,,,,
2012-06-10,5.47,0.0,0.0,0.0,0.0,,,,
2012-06-11,5.57,0.0,0.0,0.0,0.0,,,,
2012-06-12,5.7,0.0,0.0,0.0,0.0,,,,
2012-06-13,5.93,0.0,0.0,0.0,0.0,,,,
