date,btc_price,supply_0-1d,realized_cap_0-1d,supply_1d-1w,realized_cap_1d-1w,supply_1w-1m,realized_cap_1w-1m,supply_1m-3m,realized_cap_1m-3m,supply_3m-6m,realized_cap_3m-6m,supply_6m-12m,realized_cap_6m-12m,supply_1y-2y,realized_cap_1y-2y,supply_2y-3y,realized_cap_2y-3y,supply_3y-5y,realized_cap_3y-5y,supply_5y-7y,realized_cap_5y-7y,supply_7y-10y,realized_cap_7y-10y,supply_10y+,realized_cap_10y+
2009-03-02,,1.7761121068926178,1.776112106892619,10.868502525664,10.868502525664006,46.87958285807396,46.87958285807398,40.47580250936939,40.4758025093694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-03,,1.826337712271707,1.826337712271708,10.669657161166288,10.669657161166295,45.91477090676064,45.91477090676066,41.58923421980133,41.589234219801355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-04,,2.0327765521588397,2.0327765521588406,10.352978254018277,10.35297825401828,44.83138985187519,44.8313898518752,42.78285534194767,42.78285534194769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-05,,1.8736450913595537,1.8736450913595541,10.452152369154536,10.452152369154538,43.48096624341901,43.480966243419026,44.193236296066914,44.193236296066885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-06,,1.9315589353612166,1.9315589353612168,9.764258555133077,9.76425855513308,43.17871939163497,43.17871939163499,45.12546311787074,45.125463117870716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-07,,1.6307600239377618,1.6307600239377618,9.94913225613405,9.949132256134051,42.220239377618185,42.2202393776182,46.199868342310005,46.19986834230998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-08,,2.0444182968083537,2.044418296808354,9.648477717311367,9.64847771731137,41.10899838211501,41.10899838211502,47.19810560376527,47.19810560376525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-09,,1.5925872303460253,1.5925872303460258,10.076733748371215,10.076733748371218,39.85812653829448,39.858126538294485,48.472552482988284,48.47255248298826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-10,,1.5255203877958365,1.525520387795837,10.008554319931564,10.008554319931566,38.6655374964357,38.665537496435704,49.80038779583691,49.80038779583688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-11,,1.599326599326599,1.5993265993265993,9.666105499438832,9.666105499438833,37.275544332210984,37.275544332211005,51.459023569023586,51.45902356902356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-12,,1.6836875517526908,1.683687551752691,9.425890146287605,9.425890146287607,36.654717085288425,36.65471708528843,52.23570521667128,52.235705216671256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-13,,1.7393667617882862,1.7393667617882864,9.213208316347329,9.213208316347329,35.738551433618696,35.738551433618696,53.3088734882457,53.30887348824568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-14,,1.486142723256125,1.4861427232561253,9.398848574106305,9.398848574106305,35.06493506493506,35.064935064935064,54.050073637702525,54.05007363770249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
