date,btc_price,total_oi,circulating_supply_btc,market_cap_usd,oi_mcap_pct,oi_mcap_ma30,oi_mcap_ma90,oi_mcap_pctile_1y
2023-09-01,25927.762485267,10515315345.0,19473639.79496739,504907907327.5581,2.082620452639932,2.3305972503018664,2.3585752485369333,4.657534246575342
2023-09-02,25909.5771757153,10431513050.0,19474589.794967007,504578387258.0953,2.067372149387011,2.3185880088754423,2.356536679714504,2.4657534246575343
2023-09-03,25985.1483294931,10460377423.0,19475577.294967234,506075764812.23157,2.0669587738272934,2.3060886054007517,2.3535130105927453,2.4657534246575343
2023-09-04,25829.7607686328,10545214412.0,19476508.54496754,503073556324.7441,2.0961575657124887,2.2933138253014054,2.3519941887092264,6.575342465753424
2023-09-05,25801.3845443916,10411059704.0,19477283.544966236,502540882623.82465,2.07168412839223,2.2800752978198338,2.3494274032560236,3.5616438356164384
2023-09-06,25771.4578139339,10505172523.0,19478127.294966966,501979735876.6756,2.092748326713505,2.2688917462239235,2.348558310985866,6.301369863013699
2023-09-07,26251.1493587611,10564475084.0,19479039.794967428,511347183022.94116,2.0660082688919466,2.2578550413230456,2.347014234883617,2.4657534246575343
2023-09-08,25918.6803715733,10785251635.0,19479871.04496739,504892551293.9754,2.1361479006491124,2.2441934258811624,2.3456746001345454,11.506849315068493
2023-09-09,25909.5640398976,10670732823.0,19480814.794967413,504739418479.59283,2.114107286318758,2.230314459804619,2.3446062448123173,9.58904109589041
2023-09-10,25837.954001127,10652553252.0,19481733.544966646,503368135197.06104,2.1162549846008205,2.2168311190866365,2.343663583618891,9.863013698630137
2023-09-11,25178.9378691104,10551187748.0,19482727.29496787,490554380080.8173,2.150870153531546,2.2052867660246402,2.342733522306896,13.150684931506849
2023-09-12,25849.7665024534,10756939279.0,19483608.54496716,503646731512.60693,2.135810401607012,2.193321513064009,2.3402862901599204,11.78082191780822
2023-09-13,26237.4208561472,10744090648.0,19484527.29496638,511223742821.1203,2.1016415608379537,2.181295053397771,2.3385759915771827,7.671232876712329
2023-09-14,26543.9728778799,11080794890.0,19485539.794966932,517223639828.4517,2.14236048717247,2.1709862985710795,2.3376557965091496,13.424657534246576
2023-09-15,26614.1097215987,11392562469.0,19486714.79496731,518621565666.7607,2.196700488988202,2.1591619569208893,2.33644779518021,18.356164383561644
2023-09-16,26580.1658687366,11205745134.0,19487683.5449669,517985861022.669,2.163330310189605,2.14010892875191,2.3350956798879494,16.164383561643834
2023-09-17,26538.0876010768,11161797873.0,19488614.794967443,517190566652.48737,2.1581596016425175,2.134331454153929,2.334143956286428,15.890410958904111
2023-09-18,26789.2195875401,11142501285.0,19489589.794967074,522110900688.4536,2.1341253879793616,2.1301944478310064,2.3336304347595007,12.054794520547945
2023-09-19,27218.8557248351,11385940834.0,19490458.544967353,530507979146.3458,2.146233663124429,2.1278489461092964,2.3319660318379225,14.246575342465754
2023-09-20,27132.0450120978,11748746404.0,19491371.04496729,528840756539.5522,2.2216038114909,2.1269673926606756,2.3300108993408633,24.65753424657534
2023-09-21,26571.1655764492,11613131380.0,19492233.544967026,517931364978.13617,2.2422143483220474,2.126865581407627,2.3285033600261604,27.397260273972602
2023-09-22,26594.4556749723,11706154999.0,19493039.79496712,518406782797.7242,2.2581022061139957,2.1313272615023946,2.3261209635487257,30.136986301369863
2023-09-23,26605.3830969086,11229270620.0,19494014.794967014,518645731716.9016,2.16511385967202,2.1320951040677816,2.3225311909489106,17.26027397260274
2023-09-24,26265.6243724177,11233743645.0,19494927.29496712,512046437497.1994,2.1938915735667903,2.1345366323361463,2.3189947624219722,19.45205479452055
2023-09-25,26308.025326399,11023933864.0,19495833.544968046,512896882660.27856,2.149347020169314,2.1370194221969756,2.3154695322568903,14.520547945205479
2023-09-26,26259.3751262091,11192603952.0,19496683.544967577,511970726924.2918,2.1861804520036783,2.140433904201779,2.3114252813687948,19.726027397260275
2023-09-27,26363.1155185171,11321294977.0,19497664.794967085,514019189331.0413,2.2025043445817354,2.1437130233948847,2.30846976746003,21.643835616438356
2023-09-28,27029.25185203,11163275176.0,19498577.294967063,527031956461.9386,2.1181400936180603,2.1486829044763054,2.3041407604436985,10.41095890410959
2023-09-29,26916.1650929342,11770162050.0,19499496.04496722,524851654775.35516,2.242569294182337,2.1494893001382165,2.3028498185693946,29.315068493150687
2023-09-30,26987.167631827,11418679713.0,19500358.544966698,526259444933.74634,2.1697814306092993,2.1462913442178793,2.300656274019013,18.08219178082192
2023-10-01,27974.3425712162,11376106597.0,19501239.79496734,545534362587.8503,2.085314395785297,2.1463811423227246,2.2981073339978835,6.575342465753424
2023-10-02,27513.5171289827,11642961783.0,19502221.044967502,536574692773.9203,2.1698678561990308,2.1497976658831255,2.2947253610343585,18.63013698630137
2023-10-03,27434.6743188398,11545272377.0,19503246.0449672,535065203403.87555,2.157731862126988,2.1528234354931155,2.29141666717336,17.26027397260274
2023-10-04,27758.2389203123,11716164723.0,19504064.794968106,541398490495.97656,2.1640556685458785,2.1550867055875615,2.2874669621808383,18.356164383561644
2023-10-05,27420.0566072926,11822277371.0,19504946.04496827,534826724675.2179,2.2104874019112017,2.159713481371527,2.286345741817788,24.65753424657534
2023-10-06,27954.2974682272,11777176131.0,19505946.044967476,545275018140.2107,2.1598598393832242,2.1619505317938508,2.2843980444720353,18.08219178082192
2023-10-07,27983.6529132693,12260811477.0,19507014.794966977,545877531396.365,2.246073665211428,2.1679527116711674,2.283089635600228,32.32876712328767
2023-10-08,27942.1110753019,12373361101.0,19507939.794967182,545093020601.27515,2.2699540506593405,2.1724129166715085,2.2824514833014904,36.71232876712329
2023-10-09,27597.1824632686,12333730296.0,19508914.794967443,538391081257.07684,2.290849667717797,2.1783043293848094,2.2824194323292737,38.63013698630137
2023-10-10,27403.905488386,12076777921.0,19509927.294966776,534648203676.5519,2.2588269890281225,2.183056729532386,2.2810802517396853,34.794520547945204
2023-10-11,26900.086541431,11913033424.0,19510927.294967886,524845632738.20435,2.26981662433729,2.187021611892577,2.279928915202707,36.986301369863014
2023-10-12,26767.8532170025,11962204867.0,19511958.544967618,522293242307.93085,2.2903234999060906,2.192172048502547,2.278261739134364,39.178082191780824
2023-10-13,26879.1505879939,11763029820.0,19512821.04496736,524488055264.25415,2.242764101476706,2.1968761331905053,2.275855416434835,31.506849315068493
2023-10-14,26874.3242751899,11753001065.0,19513733.544967625,524418403107.11096,2.241149623156814,2.2001691043899836,2.2739416907777295,30.958904109589042
2023-10-15,27165.9801546294,11795066643.0,19514777.294967357,530138052717.09564,2.224904736143201,2.201109245961817,2.2718116413710727,28.493150684931507
2023-10-16,28521.0531573359,12019809816.0,19515658.54496784,556607134761.4443,2.1594782145851505,2.2009808427750017,2.26854699270393,18.08219178082192
2023-10-17,28414.706376303,11857164349.0,19516671.04496781,554560477185.655,2.1381192560230855,2.2003128312543536,2.2647218133374882,13.972602739726028
2023-10-18,28337.1443338273,12246854129.0,19517577.294968173,553072404854.1437,2.2143310751925402,2.20298635416146,2.262056809835763,26.027397260273972
2023-10-19,28715.8962956434,12052728318.0,19518452.29496753,560489851953.7505,2.150391889520695,2.203124961708002,2.2594739774384967,15.616438356164384
2023-10-20,29686.7015620961,12457443028.0,19519289.794967763,579463330847.276,2.1498242192107404,2.2007323086319968,2.257026352470016,15.616438356164384
2023-10-21,29926.1134549487,13050860015.0,19520227.294967398,584164536695.5807,2.23410686462144,2.2004620591753095,2.256039731741265,32.054794520547944
2023-10-22,29996.4003905257,13652973435.0,19521183.54496739,585565237711.7837,2.331588789039424,2.202911611939491,2.255441046833731,47.12328767123288
2023-10-23,33066.2832874463,13469196291.0,19522164.79496732,645525431494.6003,2.0865477382997057,2.2002927412270803,2.2512920051262704,6.8493150684931505
2023-10-24,33921.6865795161,13794902624.0,19522952.29496789,662251468856.7452,2.0830308836935236,2.196597384897971,2.2472694566052662,6.027397260273973
