date,event,btc_price
10/26/2014,,353.1743172
10/27/2014,,349.6525201
10/28/2014,,353.459514
10/29/2014,,333.407201
10/30/2014,,344.874984
10/31/2014,,336.7958156
11/1/2014,,325.7668709
11/2/2014,,323.9710354
11/3/2014,,325.0335171
11/4/2014,,329.6841175
11/5/2014,,338.8713693
11/6/2014,,349.7215455
11/7/2014,,342.0813354
11/8/2014,,344.7817894
11/9/2014,,362.596848
11/10/2014,,366.1042866
11/11/2014,,368.0546419
11/12/2014,,431.7352074
11/13/2014,,419.011925
11/14/2014,,399.92489
11/15/2014,,375.733837
11/16/2014,,391.6296837
11/17/2014,,387.4721067
11/18/2014,,373.1919113
11/19/2014,,376.3064829
11/20/2014,,356.9287716
11/21/2014,,350.5851471
11/22/2014,,352.6345666
11/23/2014,,367.8579657
11/24/2014,,376.0218122
11/25/2014,,377.0592321
11/26/2014,,369.1193301
11/27/2014,,370.1537629
11/28/2014,,377.2867381
11/29/2014,,376.0337493
11/30/2014,,379.3695716
12/1/2014,,380.0863074
12/2/2014,,382.3632142
12/3/2014,,375.9858597
12/4/2014,,370.2609964
12/5/2014,,377.551741
12/6/2014,,376.2763779
12/7/2014,,376.4309178
12/8/2014,,361.9452958
12/9/2014,,352.1139266
12/10/2014,,345.3268667
12/11/2014,,348.8324608
12/12/2014,,352.5232631
12/13/2014,,348.064134
12/14/2014,,354.0595052
12/15/2014,,346.4141652
12/16/2014,,326.0676253
12/17/2014,,320.3110643
12/18/2014,,312.0577809
12/19/2014,,318.4698711
12/20/2014,,330.4889003
12/21/2014,,320.8743527
12/22/2014,,332.4666063
12/23/2014,,336.2529023
12/24/2014,,323.058627
12/25/2014,,319.0758294
12/26/2014,,328.0210546
12/27/2014,,316.2365933
12/28/2014,,317.2177513
12/29/2014,,312.9910883
12/30/2014,,311.3381555
12/31/2014,,322.1400702
1/1/2015,,314.7689353
1/2/2015,,316.2020808
1/3/2015,,279.7541849
1/4/2015,,264.1171671
1/5/2015,,274.9337547
1/6/2015,,288.3933796
1/7/2015,,298.0674545
1/8/2015,,283.4602013
1/9/2015,,291.368121
1/10/2015,,275.8326891
1/11/2015,,266.9344825
1/12/2015,,268.2300273
1/13/2015,,228.4172943
1/14/2015,,178.4980244
1/15/2015,,210.0544406
1/16/2015,,208.4479817
1/17/2015,,200.6387575
1/18/2015,,211.2557763
1/19/2015,,216.2992972
1/20/2015,,211.8589544
1/21/2015,,227.6633105
1/22/2015,,234.3098611
1/23/2015,,233.3181796
1/24/2015,,249.034448
1/25/2015,,254.6732669
1/26/2015,,275.7408123
1/27/2015,,265.3032927
1/28/2015,,234.6576617
1/29/2015,,234.1408946
1/30/2015,,227.4350799
1/31/2015,,216.6614931
2/1/2015,,227.2158808
2/2/2015,,238.8882444
2/3/2015,,228.1707831
2/4/2015,,227.4136957
2/5/2015,,216.6528842
2/6/2015,,222.7823267
2/7/2015,,228.816044
2/8/2015,,224.043052
2/9/2015,,220.7462324
2/10/2015,,220.8986434
2/11/2015,,219.915895
2/12/2015,,222.7307322
2/13/2015,,236.2117532
2/14/2015,,256.9579254
2/15/2015,,235.5583107
2/16/2015,,233.9262035
2/17/2015,,244.2505551
2/18/2015,,236.7244038
2/19/2015,,240.4647242
2/20/2015,,244.904422
2/21/2015,,245.639535
2/22/2015,,237.0137272
2/23/2015,,241.4002492
2/24/2015,,239.8161978
2/25/2015,,238.1449599
2/26/2015,,237.0268908
2/27/2015,,254.5242481
