Cycle,Date_prev,Date_curr,Price_prev,Price_curr,MVRV_prev,MVRV_curr,Dir_MVRV,Z_prev,Z_curr,Dir_Z,RollMean_prev,RollMean_curr,RollStd_prev,RollStd_curr,Class
2013,2013-06-28,2013-07-12,114.908370005196,105.620104268844,2.2378455590016646,2.074862557012548,TURUN,0.0035770579061103125,-0.23075884848755124,TURUN,2.235146111444147,2.246730270343381,0.7546558172587352,0.7447935992803526,SEARAH (turun-turun)
2013,2013-07-12,2013-07-30,105.620104268844,107.24868320938,2.074862557012548,2.087812175827544,FLAT,-0.23075884848755124,-0.22858643420329136,FLAT,2.246730270343381,2.256610648965233,0.7447935992803526,0.738444841339838,FLAT/FLAT (tidak ada perubahan berarti)
2013,2013-07-30,2013-08-06,107.24868320938,106.449939130565,2.087812175827544,2.031625739268464,TURUN,-0.22858643420329136,-0.3068357778893252,FLAT,2.256610648965233,2.2580054871860042,0.738444841339838,0.7377879772521019,"DIVERGEN (MVRV turun, Z naik/flat)"
2013,2013-08-06,2013-09-01,106.449939130565,145.433321357506,2.031625739268464,2.594851224626583,NAIK,-0.3068357778893252,0.43631230934247556,NAIK,2.2580054871860042,2.2757267843207454,0.7377879772521019,0.7314128743852296,SEARAH (naik-naik)
2013,2013-09-01,2013-09-11,145.433321357506,141.540803066733,2.594851224626583,2.4614311614988043,TURUN,0.43631230934247556,0.23498486732473736,TURUN,2.2757267843207454,2.290620289250579,0.7314128743852296,0.7269015838886893,SEARAH (turun-turun)
2013,2013-09-11,2013-09-29,141.540803066733,144.564698340902,2.4614311614988043,2.4039800745429445,TURUN,0.23498486732473736,0.12755718840270874,TURUN,2.290620289250579,2.312034157663253,0.7269015838886893,0.7208211315336513,SEARAH (turun-turun)
2013,2013-09-29,2013-10-23,144.564698340902,214.701652884231,2.4039800745429445,3.1286394863722102,NAIK,0.12755718840270874,1.0911173503686586,NAIK,2.312034157663253,2.3523507240391517,0.7208211315336513,0.7114622107977404,SEARAH (naik-naik)
2013,2013-10-23,2013-11-29,214.701652884231,1156.12458772548,3.1286394863722102,5.166669004401919,NAIK,1.0911173503686586,2.895288168852519,NAIK,2.3523507240391517,2.593427562126867,0.7114622107977404,0.8887686793867212,SEARAH (naik-naik)
2013,2013-11-29,2013-12-26,1156.12458772548,760.930399111866,5.166669004401919,2.7876519256818937,TURUN,2.895288168852519,0.1005785736961259,TURUN,2.593427562126867,2.69702009599516,0.8887686793867212,0.9011047418564123,SEARAH (turun-turun)
2013,2013-12-26,2014-01-06,760.930399111866,925.586311344306,2.7876519256818937,3.219554521844989,NAIK,0.1005785736961259,0.5526975572087401,NAIK,2.69702009599516,2.7288955025969726,0.9011047418564123,0.8877531895128437,SEARAH (naik-naik)
2013,2014-01-06,2014-01-19,925.586311344306,851.87902489518,3.219554521844989,2.8241740456446323,TURUN,0.5526975572087401,0.07133624834323944,TURUN,2.7288955025969726,2.761889325219158,0.8877531895128437,0.8731146068375649,SEARAH (turun-turun)
2013,2014-01-19,2014-02-02,851.87902489518,814.149937175916,2.8241740456446323,2.629962911743084,TURUN,0.07133624834323944,-0.17051464205451833,TURUN,2.761889325219158,2.7777309101250824,0.8731146068375649,0.8666000561685067,SEARAH (turun-turun)
2013,2014-02-02,2014-03-03,814.149937175916,680.659703859355,2.629962911743084,2.162918733905581,TURUN,-0.17051464205451833,-0.6303364796797389,TURUN,2.7777309101250824,2.724486709058048,0.8666000561685067,0.8909019123211592,SEARAH (turun-turun)
2013,2014-03-03,2014-03-13,680.659703859355,644.210887849228,2.162918733905581,1.9252750334097424,TURUN,-0.6303364796797389,-0.8532633798000784,TURUN,2.724486709058048,2.687171611637451,0.8909019123211592,0.8929207513935766,SEARAH (turun-turun)
2013,2014-03-13,2014-04-16,644.210887849228,530.937602631916,1.9252750334097424,1.607437466328847,TURUN,-0.8532633798000784,-1.0561073667276206,TURUN,2.687171611637451,2.4675331377177168,0.8929207513935766,0.8144017346019479,SEARAH (turun-turun)
2013,2014-04-16,2014-05-10,530.937602631916,457.193549962871,1.607437466328847,1.3899762051805076,TURUN,-1.0561073667276206,-1.16740759643597,TURUN,2.4675331377177168,2.3782418895095323,0.8144017346019479,0.8465472448064792,SEARAH (turun-turun)
2013,2014-05-10,2014-06-03,457.193549962871,671.348575400471,1.3899762051805076,1.971802230315585,NAIK,-1.16740759643597,-0.3951035095486149,NAIK,2.3782418895095323,2.314924632112535,0.8465472448064792,0.8684367349430773,SEARAH (naik-naik)
