coin,network,address,balance,Height,Third party custodian name
USDC,MATIC,0x18e226459ccf0eec276514a4fd3b226d8961e4d1,750.0,93010514,
USDC,MATIC,0x505e71695e9bc45943c58adec1650577bca68fd9,5.20448,93010514,
USDC,MATIC,0x290275e3db66394c52272398959845170e4dcb88,258.301895,93010514,
USDC,MATIC,0x43684d03d81d3a4c70da68febdd61029d426f042,0.0,93010514,
USDC,MATIC,0x5a52e96bacdabb82fd05763e25335261b270efcb,0.0,93010514,
USDC,MATIC,0x4ed6cf63bd9c009d247ee51224fc1c7041f517f1,0.0,93010514,
USDC,MATIC,0x082489a616ab4d46d1947ee3f912e080815b08da,0.0,93010514,
USDC,MATIC,0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,0.0,93010514,
USDC,MATIC,0xb75f972af41d6ff0bcc6b2613b832632de1e418b,0.0,93010514,
USDC,MATIC,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,0.0,93010514,Ceffu
USDC,MATIC,0x835678a611b28684005a5e2233695fb6cbbb0007,17.6,93010514,
USDC,AVAXC,0x978b21a854dbefcd6d51dfd269875d158046240b,3479.905,94159927,
USDC,AVAXC,0x43684d03d81d3a4c70da68febdd61029d426f042,0.216825,94159927,
USDC,AVAXC,0xaba2d404c5c41da5964453a368aff2604ae80a14,573.551202,94159927,
USDC,AVAXC,0x4aec0e98fc1fb55b9cc2faaa7a81acca42cb4e96,0.0,94159927,
USDC,AVAXC,0x5a52e96bacdabb82fd05763e25335261b270efcb,0.0,94159927,
USDC,AVAXC,0x4aefa39caeadd662ae31ab0ce7c8c2c9c0a013e8,0.0,94159927,
USDC,AVAXC,0x4ed6cf63bd9c009d247ee51224fc1c7041f517f1,0.0,94159927,
USDC,AVAXC,0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,0.0,94159927,
USDC,AVAXC,0x3bce63c6c9abf7a47f52c9a3a7950867700b0158,0.0,94159927,
USDC,AVAXC,0x6d8be5cdf0d7dee1f04e25fd70b001ae3b907824,0.0,94159927,
USDC,CELO,0x4ed6cf63bd9c009d247ee51224fc1c7041f517f1,0.0,76320041,
USDC,CELO,0xf6436829cf96ea0f8bc49d300c536fcc4f84c4ed,0.0,76320041,
USDC,AVAXC,0x45d3d68f14038099530b1c4448db8ecdd78179b1,50285457.25,94159927,
USDC,AVAXC,0x835678a611b28684005a5e2233695fb6cbbb0007,0.216825,94159927,
USDC,AVAXC,0x9f8c163cba728e99993abe7495f06c0a3c8ac8b9,0.0,94159927,
USDC,AVAXC,0xcddc5d0ebeb71a08fff26909aa6c0d4e256b4fe1,0.0,94159927,
USDC,CELO,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,8852773.897,76320041,
USDC,CELO,0x2977aa854ac29251afccaa3935369483eb296a3b,0.0,76320041,
USDC,CELO,0xef268b5c05452d63a17da12f562368e88a036ef1,0.0,76320041,
USDC,SUI,0x935029ca5219502a47ac9b69f556ccf6e2198b5e7815cf50f68846f723739cbd,0.0,317287615,
USDC,NEAR,d04204b6591fefb973a8ed60929f8211af89ee38020da9faf905acdc7a320063,749801.5586,213761241,
USDC,NEAR,binancecold3.near,0.0,213761241,
USDC,SEIEVM,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,544986.8531,229479307,
USDC,SEIEVM,0xf055616bfc551a314f24ab6c09e8e1582b49cb44,1000000.0,229479307,
USDC,BSC,0x0e4158c85ff724526233c1aeb4ff6f0c46827fbe,1e-08,119243645,Ceffu
USDC,BSC,0x01c952174c24e1210d26961d456a77a39e1f0bb0,0.0,119243645,
USDC,BSC,0x1fbe2acee135d991592f167ac371f3dd893a508b,0.0,119243645,
USDC,BSC,0x73f5ebe90f27b46ea12e5795d16c4b408b19cc6f,0.0,119243645,
USDC,BSC,0xa180fe01b906a1be37be6c534a3300785b20d947,0.0,119243645,
USDC,BSC,0x18e226459ccf0eec276514a4fd3b226d8961e4d1,2459865.906,119243645,
USDC,BSC,0xdccf3b77da55107280bd850ea519df3705d1a75a,0.0,119243645,
USDC,BSC,0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645,1e-08,119243645,
USDC,BSC,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0.02,119243645,
USDC,BSC,0xbd612a3f30dca67bf60a39fd0d35e39b7ab80774,0.0,119243645,
USDC,BSC,0x3c783c21a0383057d128bae431894a5c19f9cf06,0.0,119243645,
USDC,BSC,0x835678a611b28684005a5e2233695fb6cbbb0007,0.0,119243645,
USDC,BSC,0x4ed6cf63bd9c009d247ee51224fc1c7041f517f1,6569546.23,119243645,
USDC,BSC,0x29bdfbf7d27462a2d115748ace2bd71a2646946c,0.0,119243645,
USDC,BSC,0x43684d03d81d3a4c70da68febdd61029d426f042,5292381.692,119243645,
USDC,BSC,0xf977814e90da44bfa03b6295a0616a897441acec,480000000.0,119243645,
USDC,BSC,0x515b72ed8a97f42c568d6a143232775018f133c8,1e-08,119243645,
USDC,BSC,0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,0.0,119243645,
USDC,BSC,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,1.001e-05,119243645,Ceffu
USDC,BSC,0x08439901c2bb071cd0812ed329675c9657434083,7492311.989,119243645,Ceffu
USDC,BSC,0x5a52e96bacdabb82fd05763e25335261b270efcb,0.0,119243645,
USDC,BSC,0xeb2d2f1b8c558a40207669291fda468e50c8a0bb,1e-08,119243645,
USDC,BSC,0x4aec0e98fc1fb55b9cc2faaa7a81acca42cb4e96,127048.7056,119243645,
USDC,BSC,0x98adef6f2ac8572ec48965509d69a8dd5e8bba9d,106001506.9,119243645,
USDC,SOL,G9RCBaYb8aBRxoe8QBC2ucGrVqjuZFysRhY8d56cnNT1,0.002036,443282097,
USDC,SOL,2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,4.883151,443282097,
USDC,SOL,H8BgJgae6qhMtf7BM2JtddywSQt11WdxHHxkGLNX5hss,516235415.2,443282097,
USDC,SOL,5SDrsMNTYdhmApjfqYHDvjoW92f2S42vcc7zNDVcQ9Ej,581765.9675,443282097,Ceffu
USDC,SOL,3gd3dqgtJ4jWfBfLYTX67DALFetjc5iS72sCgRhCkW2u,0.0003,443282097,
USDC,SOL,28nYGHJyUVcVdxZtzKByBXEj127XnrUkrE3VaGuWj1ZU,0.0,443282097,Ceffu
USDC,SOL,6QJzieMYfp7yr3EdrePaQoG3Ghxs2wM98xSLRu8Xh56U,0.0,443282097,
USDC,SOL,9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,1094.24345,443282097,
USDC,SOL,HXsKP7wrBWaQ8T2Vtjry3Nj3oUgwYcqq9vrHDM12G664,0.0,443282097,
USDC,ARBITRUM,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0.017052,500455224,
USDC,ARBITRUM,0xf92402bb795fd7cd08fb83839689db79099c8c9c,163.01,500455224,
USDC,ARBITRUM,0x4aec0e98fc1fb55b9cc2faaa7a81acca42cb4e96,0.0,500455224,
USDC,ARBITRUM,0x5a52e96bacdabb82fd05763e25335261b270efcb,2e-06,500455224,
USDC,ARBITRUM,0x3931dab967c3e2dbb492fe12460a66d0fe4cc857,242.530693,500455224,
USDC,ARBITRUM,0xf977814e90da44bfa03b6295a0616a897441acec,0.050059,500455224,
USDC,ARBITRUM,0x71a7de1bdad3904b312717843597f549d2a79eb8,1083298.242,500455224,Ceffu
USDC,ARBITRUM,0x18e226459ccf0eec276514a4fd3b226d8961e4d1,0.0,500455224,
USDC,ARBITRUM,0x4ed6cf63bd9c009d247ee51224fc1c7041f517f1,0.0,500455224,
USDC,ARBITRUM,0x25681ab599b4e2ceea31f8b498052c53fc2d74db,12.729713,500455224,
USDC,ARBITRUM,0xc8812d1d1918587924ad84bcf8687bfbb1231f85,2.005413,500455224,Ceffu
USDC,ARBITRUM,0xb93b82f33e2653b544e046128f3cb47879dc917b,814333.0943,500455224,Ceffu
USDC,ARBITRUM,0xb38e8c17e38363af6ebdcb3dae12e0243582891d,2534.086971,500455224,
USDC,ARBITRUM,0x43684d03d81d3a4c70da68febdd61029d426f042,0.0,500455224,
USDC,ARBITRUM,0x9dfb9014e88087fba78cc9309c64031d02be9a33,0.0,500455224,
USDC,ARBITRUM,0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,0.0,500455224,
USDC,ARBITRUM,0x835678a611b28684005a5e2233695fb6cbbb0007,0.0,500455224,
USDC,ARBITRUM,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,1e-05,500455224,Ceffu
USDC,APT,0xaa367ea8e145e3af459d3b8f6d50b96c76d9cf9c7dabedf9fff192f36eda0ee0,96583226.28,1012869185,
USDC,SUI,0xac5bceec1b789ff840d7d4e6ce4ce61c90d190a7f8c4f4ddf0bff6ee2413c33c,0.287396,317287615,
USDC,SUI,0x7ab9a6a7109dcb9cb357a109f32dfcc78a7aa2d6029084eb924d95133fc71cec,0.0,317287615,
USDC,APT,0xae1a6f3d3daccaf77b55044cea133379934bba04a11b9d0bbd643eae5e6e9c70,182487.1009,1012869185,
USDC,APT,0x80174e0fe8cb2d32b038c6c888dd95c3e1560736f0d4a6e8bed6ae43b5c91f6f,1791897.02,1012869185,
USDC,APT,0xd91c64b777e51395c6ea9dec562ed79a4afa0cd6dad5a87b187c37198a1f855a,0.0,1012869185,
USDC,APT,0x5bd7de5c56d5691f32ea86c973c73fec7b1445e59736c97158020018c080bb00,0.0,1012869185,
USDC,APT,0xbe13ea18241ed83ada91e8f5ca37b5507b397cb66ae1e52151cf32a96547600b,44777230.28,1012869185,
USDC,APT,0xed8c46bec9dbc2b23c60568f822b95b87ea395f7e3fdb5e3adc0a30c55c0a60e,0.0,1012869185,
USDT,MATIC,0x290275e3db66394c52272398959845170e4dcb88,13441356.36,93010514,
USDT,TRX,TYASr5UV6HEcXatwdFQfmLVUqQQQMUxHLS,49959069.41,85849746,
USDT,TRX,TK4ykR48cQQoyFcZ5N4xZCbsBaHcg6n3gJ,38987865.48,85849746,
USDT,TRX,TJDENsfBJs4RFETt1X1W8wMDc8M5XnJhCe,46788664.35,85849746,
USDT,TRX,TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf,708267249.6,85849746,
USDT,TRX,TJ5usJLLwjwn7Pw3TPbdzreG7dvgKzfQ5y,40525326.24,85849746,
USDT,TRX,TQrY8tryqsYVCYS3MFbtffiPp2ccyn4STm,42678967.5,85849746,
USDT,TRX,TJqwA7SoZnERE4zW5uDEiPkbz4B66h9TFj,34674262.43,85849746,
USDT,TRX,TCLgK89AnXbC9rewvhNb9UgXCc2qJJpBXh,52398665.38,85849746,
USDT,TRX,TNXoiAJ3dct8Fjg4M9fkLFh9S2v9TXc32G,30513459.14,85849746,
USDT,TRX,TAzsQ9Gx8eqFNFSKbeXrbi45CuVPHzA8wr,50815743.24,85849746,
USDT,ETH,0x21a31ee1afc51d94c2efccaa2092ad1028285549,61215418.61,25878704,
USDT,ETH,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,77541653.77,25878704,
USDT,ETH,0x28c6c06298d514db089934071355e5743bf21d60,621548106.7,25878704,
USDT,ETH,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,78450022.67,25878704,
USDT,ETH,0x9696f59e4d72e237be84ffd425dcad154bf96976,60471243.64,25878704,
USDT,MATIC,0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245,17035460.37,93010514,
USDT,BSC,0xe2fc31f816a9b94326492132018c3aecc4a93ae1,24283125.68,119243645,
USDT,BSC,0xa180fe01b906a1be37be6c534a3300785b20d947,28726559.6,119243645,
USDT,BSC,0xeb2d2f1b8c558a40207669291fda468e50c8a0bb,21536884.68,119243645,
USDT,BSC,0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645,29301592.56,119243645,
USDT,BSC,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,192024101.4,119243645,
USDT,BSC,0x515b72ed8a97f42c568d6a143232775018f133c8,23313472.73,119243645,
USDT,BSC,0xbd612a3f30dca67bf60a39fd0d35e39b7ab80774,23439549.09,119243645,
USDT,PLASMA,0x8741b106e9738a6971ad07dabcfe95ff66337b51,214135810.3,31280237,
USDT,MATIC,0x505e71695e9bc45943c58adec1650577bca68fd9,15898495.82,93010514,
USDT,TON,UQDKHZ7e70CzqdvZCC83Z4WVR8POC_ZB0J1Y4zo88G-zCSRH,12248890.88,89799585,
USDT,AVAXC,0x6d8be5cdf0d7dee1f04e25fd70b001ae3b907824,2545158.425,94159927,
USDT,OPTIMISM,0xacd03d601e5bb1b275bb94076ff46ed9d753435a,15573155.45,156311011,
USDT,SOL,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,476368442.4,443282097,
