date,btc_price,min_sopr,pct_sth_in_loss,sth_loss_chg5,rsi14,rsi_bb_lower,c1_sopr,c2_sth_loss,c3_rsi_bb,confirm_count,zone,drawdown_10d,is_correction
2024-01-03,42882.9772875105,1.000205917754156,19.32106422099528,-8.407543721285556,51.88707760357677,48.30510255137359,False,False,False,0,NEUTRAL,-0.046510327956927444,False
2024-01-04,44255.4798441317,1.026698443428285,13.944987732966622,-13.769414826886868,57.332857566501005,48.73718874626498,False,False,False,0,NEUTRAL,-0.01599316018154129,False
2024-01-05,44334.8715679845,1.01708694608317,2.1858024799844817,-25.845251508818,57.63159334381064,49.17535879297197,False,False,False,0,NEUTRAL,-0.014227909876465494,False
2024-01-06,43997.8710233057,1.0055534579929688,21.519612925320377,18.118047702087836,55.84423321196041,49.370683694408044,False,False,False,0,NEUTRAL,-0.021721012248294258,False
2024-01-07,44299.2939991951,1.0065550156606202,5.247444193055877,-0.2410501193839263,57.12504567247415,50.08287155233474,False,False,False,0,NEUTRAL,-0.015018966061059569,False
2024-01-08,47081.4977792422,1.0326268978153983,0.0,-19.32106422099528,66.72061369662097,50.62711750042796,False,False,False,0,NEUTRAL,0.0,False
2024-01-09,46157.104634299,1.017439815090935,8.844055273044182,-5.10093245992244,61.77381851372292,51.489407040426094,False,False,False,0,NEUTRAL,-0.0196338941738331,False
2024-01-10,46704.0212654584,1.0230395845941405,1.755879002418994,-0.42992347756548766,63.49817696291417,51.546682996651874,False,False,False,0,NEUTRAL,-0.008017512857252829,False
2024-01-11,46422.514952638,1.0162405426186498,11.048834983031016,-10.470777942289361,61.94916844850584,51.60664335860144,False,False,False,0,NEUTRAL,-0.013996641094428885,False
2024-01-12,42802.9958672967,0.9760154657971486,41.25536013867716,36.007915945621285,46.30727860575169,50.42110185255568,True,True,True,3,BUY_ZONE,-0.09087437982552571,True
2024-01-13,42850.6353160156,0.9984935345114846,36.43822514162187,36.43822514162187,46.498756286923374,49.419343554573004,False,False,True,1,NEUTRAL,-0.08986252907807768,True
2024-01-14,41802.6523443133,0.9876490238162674,50.50768654331465,41.663631270270464,42.876384044084595,48.002525474222494,False,True,True,2,BUY_ZONE,-0.11212144226338305,True
2024-01-15,42525.0130290145,1.0028720489557632,40.60395222714309,38.8480732247241,45.99913272516989,47.1172236248924,False,True,True,2,BUY_ZONE,-0.09677867028768594,True
2024-01-16,43151.682390494,1.0011411727152904,33.920353888108764,22.87151890507775,48.62309924754331,46.73556873059361,False,False,False,0,NEUTRAL,-0.08346835963406452,True
2024-01-17,42768.6164119022,0.9979924481072976,42.42801045351916,1.1726503148419951,47.115986822023864,46.05477666905783,False,False,False,0,NEUTRAL,-0.09160459141640798,True
2024-01-18,41319.8844291479,1.0288169836957397,52.112002433065726,15.673777291443855,41.83471008008717,44.83418082679528,False,True,True,2,BUY_ZONE,-0.1152820825793116,True
2024-01-19,41665.2040829469,1.0022596964603043,48.57984402440925,-1.9278425189054005,43.46150500847383,43.91443186034977,False,False,True,1,NEUTRAL,-0.10788829411222756,True
2024-01-20,41687.2539317214,0.99853739715963,48.088283776800864,7.4843315496577745,43.57003448277237,43.116853953985675,False,False,False,0,NEUTRAL,-0.1020035434475639,True
2024-01-21,41613.2952610405,0.9981141324452092,54.2161299286356,20.29577604052684,43.270008682602544,42.3978224109038,False,True,False,1,NEUTRAL,-0.035650687162834704,False
2024-01-22,39563.6764739163,0.9804629137274924,57.282114637936274,14.854104184417118,35.89343899488233,40.80844385254735,False,True,True,2,BUY_ZONE,-0.08314869126326618,True
2024-01-23,39906.2715497597,1.001161033401523,60.611078585112224,8.499076152046499,37.80213025315829,39.574686440528986,False,False,True,1,NEUTRAL,-0.07520936985412274,False
2024-01-24,40117.6810517906,0.9952441122390322,52.38736891846796,3.807524894058716,39.00890906484871,38.606972536169835,False,False,False,0,NEUTRAL,-0.07031015178615085,False
2024-01-25,39964.0969895517,1.0032276104796525,60.39790167626068,12.309617899459816,38.42562589356794,37.655136172344356,False,True,False,1,NEUTRAL,-0.0738693192097768,False
2024-01-26,41846.611859567,1.016334683439781,47.28712154171586,-6.92900838691974,48.57553927617812,37.49310426922494,False,False,False,0,NEUTRAL,-0.021557970065139043,False
2024-01-27,42124.7165589278,1.0056349313142088,37.79767706219174,-19.484437575744536,49.88968656920815,37.415202802505355,False,False,False,0,NEUTRAL,0.0,False
